"measure_1","measure_2","tau","networks"
"decay","random_walk",0.8859,19
"generalized_closeness","random_walk",0.8859,19
"random_walk","residual_closeness",0.8859,19
"harmonic","kpath",0.8854,19
"kpath","reaching_local",0.8854,19
"dangalchev","information",0.8853,19
"decay","information",0.8853,19
"generalized_closeness","information",0.8853,19
"information","residual_closeness",0.8853,19
"communicability_betweenness","semilocal",0.8853,19
"communicability_betweenness","random_walk",0.8852,19
"expected","hub",0.8851,19
"communicability_betweenness","information",0.8851,19
"eigenvector","gravity",0.885,19
"dangalchev","spanning_tree",0.8845,19
"decay","spanning_tree",0.8845,19
"generalized_closeness","spanning_tree",0.8845,19
"residual_closeness","spanning_tree",0.8845,19
"communicability","weighted_h_index",0.8844,19
"authority","gravity",0.8843,19
"current_flow_closeness","dangalchev",0.8841,19
"current_flow_closeness","decay",0.8841,19
"current_flow_closeness","generalized_closeness",0.8841,19
"current_flow_closeness","residual_closeness",0.8841,19
"community_based","markov",0.8834,19
"average_distance","closeness_vitality",0.8831,19
"barycenter","closeness_vitality",-0.8831,19
"closeness","closeness_vitality",-0.8831,19
"closeness_vitality","lin",-0.8831,19
"katz","node_contraction_improved",0.8831,14
"closeness_vitality","radiality",-0.8831,19
"closeness_vitality","wiener",0.8831,19
"harary","mnc",0.883,18
"communicability_betweenness","spanning_tree",0.8828,19
"communicability_betweenness","current_flow_closeness",0.8826,19
"node_contraction","node_contraction_improved",0.8823,14
"expected_influence_2","local_entropy",-0.8821,19
"eigenvector","weighted_h_index",0.8819,19
"community_based","harary",0.8818,19
"node_contraction_improved","pagerank",0.8817,14
"harary","pagerank",0.8814,19
"laplacian","weighted_h_index",0.8809,19
"dangalchev","laplacian",0.8806,19
"decay","laplacian",0.8806,19
"generalized_closeness","laplacian",0.8806,19
"laplacian","residual_closeness",0.8806,19
"hub","semilocal",0.8805,19
"degree","epc",0.88,14
"epc","expected_influence_1",0.88,14
"epc","strength",0.88,14
"communicability_betweenness","harary",0.8799,19
"katz","semilocal",0.8793,19
