config_1,config_2,networks,mean_tau_b,mean_abs_tau_b,median_tau_b,min_tau_b,max_tau_b,min_abs_tau_b,mean_spearman,mean_pearson,domain_balanced_tau_b,mean_tau_without_kite,networks_abs_tau_ge_099,mean_raw_tie_sensitivity,max_raw_tie_sensitivity
linerank,proximal_betweenness,14,0.6773180556756894,0.6773180556756894,0.7054487798921825,0.466303141501734,0.821862348178138,0.466303141501734,0.8158967036396094,0.8971363350394737,0.6590906705317777,0.691884826383491,0,0.003031471908724211,0.01654551568323498
expected_force,resistance_curvature,14,-0.6772771051328693,0.6772771051328693,-0.6848595848595845,-0.82262996941896,-0.523809523809524,0.523809523809524,-0.820995766469648,-0.8204580414872328,-0.6400991759091095,-0.6890823036962036,0,0.0012552506508960051,0.005944533258338991
flow_betweenness,mcc,14,0.6772236518047907,0.6772236518047907,0.6606182913218934,0.56155223184572,0.828078671210825,0.56155223184572,0.8301404743229721,0.8125876906888146,0.7207144915266646,0.665619419542788,0,0.0,0.0
community_mediator,local_entropy,19,-0.6768721541266426,0.6768721541266426,-0.675196961174704,-0.916064495095274,-0.333275538216586,0.333275538216586,-0.819964618263003,-0.7391358626349651,-0.6382538738611347,-0.6787618769749482,0,0.0007291803403288956,0.008094095933211976
random_walk_decay,within_module_z,12,0.6768484538317547,0.6768484538317547,0.7092182408403435,0.528704129025847,0.765868076893843,0.528704129025847,0.8329435082026467,0.8162098780352162,0.625667063732593,0.6768484538317547,0,0.00014121072396967396,0.0011908802316090705
comm_centrality,semilocal,19,0.6767712514642049,0.6767712514642049,0.699090444092584,0.424138005993736,0.870136543629356,0.424138005993736,0.8242524775461022,0.720074216960311,0.7174890790830781,0.6683652837005039,0,0.0,0.0
resistance_curvature,two_way_rw,14,-0.6767505657669726,0.6767505657669726,-0.711471659131944,-0.823120664765032,-0.313275750262722,0.313275750262722,-0.8240541083164638,-0.7961512328019873,-0.5988178531370597,-0.7047101669596072,0,0.0019673198951022136,0.01438018008822406
candidate_21,leverage,19,0.6767193956107703,0.6767193956107703,0.674821155674266,0.497258600608632,0.804281345565749,0.497258600608632,0.8324686978992585,0.8299205830454428,0.6588230679158275,0.6772778805521094,0,0.000410396799876364,0.007797539197650916
shapley_game1,weighted_leaderrank,19,0.6766169560155305,0.6766169560155305,0.686813186813187,0.516752326586893,0.813533834586466,0.516752326586893,0.8424144170776013,0.9120351918216509,0.6323433240835791,0.6824607551592505,0,0.0011340936482078351,0.00668360502655696
enrenew,wvoterank,19,0.6765597365086018,0.6765597365086018,0.670715249662618,0.535201640464798,0.777777777777778,0.535201640464798,0.8374872756406634,0.8374872756406634,0.6731643005995609,0.6709365119936475,0,0.0,0.0
heatmap,improved_closeness,19,-0.67648537188645,0.67648537188645,-0.658042118940339,-0.825454545454545,-0.485404692620205,0.485404692620205,-0.8198989908355879,-0.8764841524739156,-0.6715854036524412,-0.6698879790482193,0,0.0,0.0
godfather,voterank,19,0.6764301996463801,0.6764301996463801,0.672793139568626,0.521233660238153,0.882662770967181,0.521233660238153,0.8172916484654416,0.634755637453238,0.664282631908075,0.6763923681395487,0,0.0,0.0
closeness_vitality,mcc,14,-0.6764125555744491,0.6764125555744491,-0.724096876943864,-0.855973879233304,0.0,0.0,-0.7945022505411932,-0.5876672307990491,-0.6233671724230775,-0.669836232010579,0,0.0,0.0
enrenew,epc,14,0.6763991259592433,0.6763991259592433,0.7155268661105709,0.276190476190476,0.823712580612277,0.276190476190476,0.832909708724625,0.5994525340897445,0.6427969784364255,0.665181964708245,0,0.0,0.0
candidate_18,wvoterank,19,0.6762884052306227,0.6762884052306227,0.693920335429769,0.53233628863553,0.860255500239144,0.53233628863553,0.8299673109711079,0.5861881456921424,0.6600055945222436,0.6798141012418606,0,0.0007277568922015266,0.012503555704954983
community_hub_bridge,gravity,19,0.6762749218470069,0.6762749218470069,0.656565421202038,0.433556095608681,0.814077676098825,0.433556095608681,0.8212900051554058,0.8490629376829126,0.6875290564028785,0.6693982303346451,0,0.00020241058569457846,0.002370047537243014
community_mediator,cross_clique,19,0.6762745859701471,0.6762745859701471,0.701498163844816,0.489003199392381,0.901465857723238,0.489003199392381,0.8105934514875001,0.8180057735490766,0.5993286251123662,0.6781311105875363,0,0.00045553581126021506,0.003917416654055983
exogenous,mcc,14,0.6762644059882881,0.6762644059882881,0.716974920022736,0.238095238095238,0.855973879233304,0.238095238095238,0.7940591710385798,0.6059606832910024,0.5680468031773165,0.7099697265954458,0,0.0,0.0
local_dimension_fixed,shapley_game2,19,-0.6762154730435987,0.6762154730435987,-0.7319250547114,-0.821765780244205,-0.246979822862116,0.246979822862116,-0.8117472542230394,-0.8605606994303852,-0.5821273731889017,-0.6731204962842765,0,0.00030016578279199927,0.005703149873047986
expected_influence_2,random_walk_decay,14,0.6761702816097206,0.6761702816097206,0.6796056781776455,0.524591034189451,0.847272727272727,0.524591034189451,0.8324270748642874,0.8532055154727661,0.6581959853927583,0.6732383252500288,0,0.00010320385112928225,0.0009696945530519585
dynamics_sensitive,local_dimension_fixed,19,-0.6760809596616387,0.6760809596616387,-0.768179784167117,-0.935961005469902,-0.0579771035652448,0.0579771035652448,-0.7642664145049383,-0.8139208349796295,-0.5268028567194941,-0.6838218440805246,0,0.0,0.0
community_based,ego_betweenness,19,0.6760785309269121,0.6760785309269121,0.671768348997965,0.503676470588235,0.866080888868695,0.503676470588235,0.820733247236069,0.8498278119395047,0.6673737759764886,0.6769547502084017,0,0.0004375996381724759,0.008314393125277042
community_mediator,ego_betweenness,19,0.6760266259790423,0.6760266259790423,0.666666666666667,0.318407895295107,0.955533085905909,0.318407895295107,0.8093409052605581,0.881876105470321,0.714480917232835,0.6718648128955093,0,0.0012167472219532136,0.012517764041187984
godfather,weighted_h_index,19,0.676002637876874,0.676002637876874,0.703599328349181,0.511672070987808,0.77866282142766,0.511672070987808,0.8178312474965539,0.74157426374192,0.6809526052133872,0.6755466440747121,0,0.0,0.0
constraint,weighted_h_index,19,-0.6759898996685791,0.6759898996685791,-0.71669814431998,-0.840179796699383,-0.300375704593055,0.300375704593055,-0.8121515706954886,-0.7681401324103045,-0.6577082243459305,-0.6968573549505528,0,3.0426842657579744e-05,0.0005781100104940151
truss,weighted_h_index,18,0.6759540882329846,0.6759540882329846,0.6818299939050776,0.474750109833451,0.848251758671053,0.474750109833451,0.7865971145958179,0.7617146463501686,0.6992403041989705,0.6699521754693073,0,0.0,0.0
coreness,local_entropy,19,-0.6758861438225374,0.6758861438225374,-0.695862763438866,-0.823475976328677,-0.290909090909091,0.290909090909091,-0.7911248485902829,-0.7825304191596107,-0.6803503487503821,-0.672323547929292,0,4.065905321447513e-05,0.0006516483228150571
local_entropy,local_hindex,19,-0.6758861438225374,0.6758861438225374,-0.695862763438866,-0.823475976328677,-0.290909090909091,0.290909090909091,-0.7911248485902829,-0.7825304191596107,-0.6803503487503821,-0.672323547929292,0,4.065905321447513e-05,0.0006516483228150571
local_entropy,s_core,19,-0.6758861438225374,0.6758861438225374,-0.695862763438866,-0.823475976328677,-0.290909090909091,0.290909090909091,-0.7911248485902829,-0.7825304191596107,-0.6803503487503821,-0.672323547929292,0,4.065905321447513e-05,0.0006516483228150571
local_entropy,weighted_kshell,19,-0.6758861438225374,0.6758861438225374,-0.695862763438866,-0.823475976328677,-0.290909090909091,0.290909090909091,-0.7911248485902829,-0.7825304191596107,-0.6803503487503821,-0.672323547929292,0,4.065905321447513e-05,0.0006516483228150571
enrenew,local_dimension,19,-0.6758342321710011,0.6758342321710011,-0.692969943005806,-0.844108505022454,-0.440196426351798,0.440196426351798,-0.8201792473672257,-0.8071544257366841,-0.6958648319986258,-0.6673762077798998,0,0.0,0.0
beta_measure,epc,14,0.6757468846348405,0.6757468846348405,0.696624150521296,0.41348065320871,0.797961417765561,0.41348065320871,0.8261057278158588,0.4501987546628786,0.6286325940894887,0.6852618413395295,0,0.0017037833454161386,0.016276168751511944
bridging_coefficient,mixed_gravity,19,-0.6757284554767325,0.6757284554767325,-0.695259790498547,-0.825454545454545,-0.421057451293024,0.421057451293024,-0.8418379074860022,-0.6806033707838157,-0.67516509422563,-0.6682953802518949,0,0.0008938114596155227,0.009468440454289961
malatya,mixed_gravity,19,0.6757284554767325,0.6757284554767325,0.695259790498547,0.421057451293024,0.825454545454545,0.421057451293024,0.8418379074860022,0.6309716824720641,0.67516509422563,0.6682953802518949,0,0.0008938114596155227,0.009468440454289961
betweenness,community_mediator,19,0.6757073822842701,0.6757073822842701,0.701589279140659,0.406818384505673,0.819746859094432,0.406818384505673,0.816500129839452,0.8604708239620442,0.6806990186964142,0.6807166788684451,0,0.0009831829883742164,0.008064231656077059
community_mediator,percolation,19,0.6757073822842701,0.6757073822842701,0.701589279140659,0.406818384505673,0.819746859094432,0.406818384505673,0.816500129839452,0.8604708239620441,0.6806990186964142,0.6807166788684451,0,0.000941355061911006,0.008064231656077059
epc,local_volume_dimension,14,-0.6757031762382597,0.6757031762382597,-0.6980218577561426,-0.966091783079296,-0.382514295763141,0.382514295763141,-0.8096844732031635,-0.7859742366560328,-0.7410180515114975,-0.6533655910966415,0,0.0,0.0
comm_centrality,effective_size,19,0.6756381141303002,0.6756381141303002,0.683224479745946,0.5,0.848467491063039,0.5,0.8204763377665686,0.797342045227109,0.7149184562208786,0.6701823797236124,0,0.003613787020139142,0.039499576830646976
modified_expected_force,two_way_rw,14,0.6756201694701326,0.6756201694701326,0.6973560187505885,0.511495754602855,0.795238442974602,0.511495754602855,0.8292817078206838,0.8142323319510122,0.6989533204460187,0.6664187638159426,0,0.0,0.0
load,wvoterank,19,0.6754544330197311,0.6754544330197311,0.692390809296722,0.542171134110374,0.86751504032555,0.542171134110374,0.828907254097315,0.5832249812269416,0.6515228518026166,0.6815527112458696,0,0.0006701605790272108,0.005019444884604929
constraint,mnc,18,-0.6754482312437509,0.6754482312437509,-0.7514461894821656,-0.843744488518154,-0.264748962698455,0.264748962698455,-0.7880398806570571,-0.690620010399287,-0.6399023345738175,-0.6939174201678592,0,3.1224675256223846e-05,0.0005620441546120292
extended_mixed_gravity,resistance_curvature,14,-0.6753614713039087,0.6753614713039087,-0.6822012295696505,-0.798165137614679,-0.510948905109489,0.510948905109489,-0.8249912277840264,-0.8824488477038769,-0.6254822400750133,-0.6870193134188614,0,0.0038526245770726386,0.024128799345560004
community_hub_bridge,markov,19,0.6752464962476437,0.6752464962476437,0.678643655295434,0.461046193049716,0.818746063901151,0.461046193049716,0.8272893779026619,0.8469192592371194,0.6701320937613462,0.6709272300094006,0,0.003269007218912738,0.03206305597787895
community_hub_bridge,local_bridging,19,-0.6751744155603104,0.6751744155603104,-0.673234717322003,-0.823896642065008,-0.345784644787287,0.345784644787287,-0.8279769318543879,-0.49054816567607434,-0.6565757673234179,-0.6708511448394378,0,6.001114841000375e-06,0.00011402118197900712
current_flow_closeness,shapley_game1,19,0.6751232141253993,0.6751232141253993,0.684210526315789,0.497613351528119,0.816541353383458,0.497613351528119,0.8388592565000255,0.764267424384179,0.6228210491368288,0.6808840276085565,0,0.002503641903884471,0.019376123954687907
information,shapley_game1,19,0.6751232141253993,0.6751232141253993,0.684210526315789,0.497613351528119,0.816541353383458,0.497613351528119,0.8388592565000255,0.764267424384179,0.6228210491368288,0.6808840276085565,0,0.001495739629973952,0.005614864778229034
random_walk,shapley_game1,19,0.6751232141253993,0.6751232141253993,0.684210526315789,0.497613351528119,0.816541353383458,0.497613351528119,0.8388592565000255,0.764267424384179,0.6228210491368288,0.6808840276085565,0,0.001209118983009852,0.005614864778229034
shapley_game1,spanning_tree,19,0.6751232141253993,0.6751232141253993,0.684210526315789,0.497613351528119,0.816541353383458,0.497613351528119,0.8388592565000255,0.9185781952691665,0.6228210491368288,0.6808840276085565,0,0.0021351907101562675,0.00668360502655696
renewed_coreness,weighted_h_index,19,0.6751069713254676,0.6751069713254676,0.696603899839787,0.262222446036629,0.839329404046984,0.262222446036629,0.7822798962392901,0.7288193724002235,0.6280392097432648,0.6980450005081809,0,0.0,0.0
current_flow_betweenness,extended_mixed_gravity,19,0.6750282112286891,0.6750282112286891,0.686131386861314,0.380952380952381,0.81651376146789,0.380952380952381,0.8222459681826024,0.85782466404093,0.6054505837349878,0.6913657573551506,0,0.0020384195224430524,0.006781281163480979
coreness,pagerank,19,0.6749677732873699,0.6749677732873699,0.699665292200827,0.4,0.822478320829974,0.4,0.7937046793010448,0.5996491892476052,0.6371252401752846,0.6856539224107883,0,0.0017939118000255272,0.016364684945682995
local_hindex,pagerank,19,0.6749677732873699,0.6749677732873699,0.699665292200827,0.4,0.822478320829974,0.4,0.7937046793010448,0.5996491892476052,0.6371252401752846,0.6856539224107883,0,0.0017939118000255272,0.016364684945682995
pagerank,s_core,19,0.6749677732873699,0.6749677732873699,0.699665292200827,0.4,0.822478320829974,0.4,0.7937046793010448,0.5996491892476052,0.6371252401752846,0.6856539224107883,0,0.0017939118000255272,0.016364684945682995
pagerank,weighted_kshell,19,0.6749677732873699,0.6749677732873699,0.699665292200827,0.4,0.822478320829974,0.4,0.7937046793010448,0.5996491892476052,0.6371252401752846,0.6856539224107883,0,0.0017939118000255272,0.016364684945682995
heatmap,improved_global_structure,19,-0.6749160602003872,0.6749160602003872,-0.677117372318639,-0.803636363636363,-0.506060827347474,0.506060827347474,-0.8274292955921274,-0.8796977529760153,-0.6498454450303008,-0.6842969064699935,0,0.0,0.0
community_hub_bridge,graph_regularization,19,0.6747914487427391,0.6747914487427391,0.671410046834491,0.453609964129559,0.812703657525497,0.453609964129559,0.827734400122563,0.8657790026311186,0.6708677590237059,0.6704469020875569,0,0.0018712691695869001,0.00810041948576301
community_based,proximal_betweenness,19,0.6747212742357365,0.6747212742357365,0.663008111006018,0.405221600429377,0.835381383647173,0.405221600429377,0.8184479841569229,0.821381641787317,0.5762934023317002,0.6896934783360897,0,0.0,0.0
global_structure,stress,19,0.6746883438819996,0.6746883438819996,0.682549415522532,0.29277002188456,0.89093179087934,0.29277002188456,0.7986853261700272,0.7664858966102078,0.6165164187540475,0.6959060284374129,0,0.0003847539729323203,0.0073103254857140865
current_flow_betweenness,mcgm,19,0.6745710438917768,0.6745710438917768,0.678403900102928,0.380952380952381,0.81039755351682,0.380952380952381,0.8213657728917708,0.8867754016337726,0.6169039772530855,0.6908831918328543,0,0.00957995929668121,0.09206349206349201
markov,shapley_game1,19,0.6745167535725576,0.6745167535725576,0.666666666666667,0.497613351528119,0.813533834586466,0.497613351528119,0.838420076407969,0.9204507241354617,0.6312469654646253,0.6749528695117737,0,0.0020678785992670886,0.007797539197650916
